date,metro_no,pass,changePass,allPass,allChange
2019/8/15,10,39532,34593,,
2019/8/16,1,693485,343310,2689253,1613551
2019/8/16,2,622499,277129,,
2019/8/16,3,512298,280690,,
2019/8/16,4,404398,248819,,
2019/8/16,7,413937,426666,,
2019/8/16,10,42636,36937,,
2019/8/17,1,693485,343310,2689253,1613551
2019/8/17,2,622499,277129,,
2019/8/17,3,512298,280690,,
2019/8/17,4,404398,248819,,
2019/8/17,7,413937,426666,,
2019/8/17,10,42636,36937,,
2019/8/18,1,367499,233211,1936741,1181412
2019/8/18,2,501079,199884,,
2019/8/18,3,411784,214183,,
2019/8/18,4,297964,191213,,
2019/8/18,7,322388,312051,,
2019/8/18,10,36027,30870,,
2019/8/19,1,680283,343110,2635884,1581530
2019/8/19,2,600219,262536,,
2019/8/19,3,511277,277072,,
2019/8/19,4,400004,243930,,
2019/8/19,7,403039,417115,,
2019/8/19,10,41062,37767,,
2019/8/20,1,689619,343319,2661408,1596844
2019/8/20,2,604870,272131,,
2019/8/20,3,517587,279242,,
2019/8/20,4,406474,246634,,
2019/8/20,7,406614,419811,,
2019/8/20,10,36244,35707,,
2019/8/21,1,680547,337128,2631514,1578908
2019/8/21,2,600580,269899,,
2019/8/21,3,507411,276732,,
2019/8/21,4,399866,244716,,
2019/8/21,7,400917,413695,,
2019/8/21,10,42193,36738,,
2019/8/21,1,679691,332864,2625577,1575346
2019/8/21,2,591702,269586,,
2019/8/21,3,505105,276415,,
2019/8/21,4,399779,245912,,
2019/8/21,7,406753,415973,,
2019/8/21,10,42547,34596,,
2019/8/23,1,693641,344669,2719720,1631832
2019/8/23,2,625837,282957,,
2019/8/23,3,515504,282902,,
2019/8/23,4,409847,254616,,
2019/8/23,7,432483,431816,,
2019/8/23,10,42408,34872,,
2019/8/24,1,416062,240033,2046665,1248465
2019/8/24,2,510625,219095,,
2019/8/24,3,427723,225783,,
2019/8/24,4,313761,200929,,
2019/8/24,7,339254,331298,,
2019/8/24,10,39240,31327,,
2019/8/25,1,362996,227116,1947866,1188198
2019/8/25,2,499459,205784,,
2019/8/25,3,415353,212547,,
2019/8/25,4,300940,191860,,
2019/8/25,7,331296,320048,,
2019/8/25,10,37822,30843,,
2019/8/26,1,665417,325169,2576712,1546027
2019/8/26,2,584912,266538,,
2019/8/26,3,484697,265208,,
2019/8/26,4,398353,240317,,
2019/8/26,7,400166,411221,,
2019/8/26,10,43167,37574,,
2019/8/27,1,679198,338137,2627118,1576270
2019/8/27,2,595450,269043,,
2019/8/27,3,498392,272465,,
2019/8/27,4,401443,242334,,
2019/8/27,7,407966,416318,,
2019/8/27,10,44669,37973,,
2019/8/28,1,675427,333892,2607244,1564346
2019/8/28,2,587642,266244,,
2019/8/28,3,490617,269451,,
2019/8/28,4,397059,243086,,
2019/8/28,7,411302,413763,,
2019/8/28,10,45197,37910,,
2019/8/29,1,672198,332921,2585018,1539863
2019/8/29,2,599977,270564,,
2019/8/29,3,497600,273047,,
2019/8/29,4,401308,246789,,
2019/8/29,7,413935,416542,,
2019/8/30,1,694943,340879,2744854,1646912
2019/8/30,2,627205,283516,,
2019/8/30,3,518282,284464,,
2019/8/30,4,412787,257338,,
2019/8/30,7,443631,440719,,
2019/8/30,10,48006,39996,,
2019/8/31,1,407221,235645,2062635,1258207
2019/8/31,2,519154,221472,,
2019/8/31,3,431821,226392,,
2019/8/31,4,312803,201239,,
2019/8/31,7,348583,337184,,
2019/8/31,10,43053,36275,,
2019/9/1,1,350569,215000,1907748,1163726
2019/9/1,2,487366,201846,,
2019/9/1,3,405468,206442,,
2019/9/1,4,288738,185479,,
2019/9/1,7,333558,317309,,
2019/9/1,10,42049,37650,,
2019/9/2,1,653608,322715,2470890,1482534
2019/9/2,2,554340,253057,,
2019/9/2,3,459758,252313,,
2019/9/2,4,375939,224427,,
2019/9/2,7,384645,391568,,
2019/9/2,10,42600,38454,,
2019/9/3,1,660333,325080,2500308,1500184
2019/9/3,2,559577,257254,,
2019/9/3,3,469925,256938,,
2019/9/3,4,385625,230147,,
2019/9/3,7,382432,393676,,
2019/9/3,10,42416,37089,,
2019/9/4,1,643466,315324,2407499,1444499
2019/9/4,2,533083,244719,,
2019/9/4,3,445246,245859,,
2019/9/4,4,368119,219998,,
2019/9/4,7,377058,380801,,
2019/9/4,10,40527,37798,,
2019/9/5,1,666520,327119,2511278,1506766
2019/9/5,2,560362,257031,,
2019/9/5,3,470888,258332,,
2019/9/5,4,382924,229143,,
2019/9/5,7,386522,398710,,
2019/9/5,10,44062,36431,,
2019/9/6,1,709116,350866,2758658,1655194
2019/9/6,2,635008,284552,,
2019/9/6,3,513611,284033,,
2019/9/6,4,419297,250424,,
2019/9/6,7,433415,445668,,
2019/9/6,10,48211,39651,,
2019/9/7,1,452774,257244,2144844,1308354
2019/9/7,2,523297,224976,,
2019/9/7,3,450773,232816,,
2019/9/7,4,337295,209458,,
2019/9/7,7,338105,348538,,
2019/9/7,10,42600,35322,,
2019/9/8,1,403010,234292,2009841,1226003
2019/9/8,2,500436,215353,,
2019/9/8,3,426926,213115,,
2019/9/8,4,315173,195340,,
2019/9/8,7,323732,334314,,
2019/9/8,10,40564,33589,,
2019/9/9,1,669414,326982,2450378,1470226
2019/9/9,2,536931,249694,,
2019/9/9,3,453324,247270,,
2019/9/9,4,375090,219631,,
2019/9/9,7,374023,391177,,
2019/9/9,10,41596,35472,,
2019/9/10,1,670783,328307,2480653,1488391
2019/9/10,2,541757,252038,,
2019/9/10,3,463404,253121,,
2019/9/10,4,383025,223364,,
2019/9/10,7,378095,397043,,
2019/9/10,10,43589,34518,,
2019/9/11,1,674097,331271,2492217,1495330
2019/9/11,2,548768,253157,,
2019/9/11,3,463250,253807,,
2019/9/11,4,383097,222031,,
2019/9/11,7,380945,401182,,
2019/9/11,10,42060,33882,,
2019/9/12,1,741492,362815,2952396,1771437
2019/9/12,2,697936,302301,,
2019/9/12,3,540145,304168,,
2019/9/12,4,456995,262857,,
2019/9/12,7,463943,499455,,
2019/9/12,10,51885,39841,,
2019/9/13,1,332147,188840,1770414,1079952
2019/9/13,2,461572,190814,,
