batch_date,batch_time,speed
2019-01-04,8:10,36.1478416
2019-01-04,8:20,34.94747082
2019-01-04,8:30,34.25855014
2019-01-04,8:40,33.97579549
2019-01-04,8:50,33.90192203
2019-01-04,9:00,34.25145568
2019-01-04,9:10,34.92548532
2019-01-04,9:20,35.25983378
2019-01-04,9:30,35.344542
2019-01-04,9:40,35.34082053
2019-01-04,9:50,35.26119568
2019-01-04,10:00,35.16749291
2019-01-04,10:10,35.11296951
2019-01-04,10:20,35.13523675
2019-01-04,10:30,35.18258909
2019-01-04,10:40,35.37097343
2019-01-04,10:50,35.54650719
2019-01-04,11:00,35.80574241
2019-01-04,11:10,36.1558997
2019-01-04,11:20,36.50059785
2019-01-04,11:30,36.88557845
2019-01-04,11:40,37.29722713
2019-01-04,11:50,37.75108669
2019-01-04,12:00,38.29295356
2019-01-04,12:10,38.88659044
2019-01-04,12:20,39.42474993
2019-01-04,12:30,40.07661558
2019-01-04,12:40,40.55876922
2019-01-04,12:50,40.8606124
2019-01-04,13:00,40.93021689
2019-01-04,13:10,40.79068939
2019-01-04,13:20,40.39945685
2019-01-04,13:30,39.86462093
2019-01-04,13:40,39.25446117
2019-01-04,13:50,38.55727518
2019-01-04,14:00,37.93801734
2019-01-04,14:10,37.56670998
2019-01-04,14:20,37.22567634
2019-01-04,14:30,36.97579113
2019-01-04,14:40,36.80994893
2019-01-04,14:50,36.69595491
2019-01-04,15:00,36.71751885
2019-01-04,15:10,36.78541896
2019-01-04,15:20,36.79276034
2019-01-04,15:30,36.74199755
2019-01-04,15:40,36.77409961
2019-01-04,15:50,36.74411216
2019-01-04,16:00,36.77743054
2019-01-04,16:10,36.79007967
2019-01-04,16:20,36.71814517
2019-01-04,16:30,36.6086975
2019-01-04,16:40,36.52774818
2019-01-04,16:50,36.31923691
2019-01-04,17:00,36.18284643
2019-01-04,17:10,35.77142308
2019-01-04,17:20,34.71148356
2019-01-04,17:30,33.87663373
2019-01-04,17:40,33.38287072
2019-01-04,17:50,32.4384202
2019-01-04,18:00,31.66002193
2019-01-04,18:10,31.43473024
2019-01-04,18:20,30.94608647
2019-01-04,18:30,30.69770329
2019-01-04,18:40,31.13870376
2019-01-04,18:50,31.92595756
2019-01-04,19:00,32.87353328
2019-01-04,19:10,33.90114199
2019-01-04,19:20,34.80155338
2019-01-04,19:30,35.65432152
2019-01-04,19:40,36.43317604
2019-01-04,19:50,37.03617938
2019-01-04,20:00,37.47411477
2019-01-04,20:10,37.6827042
2019-01-04,20:20,37.61963443
2019-01-04,20:30,37.6556954
2019-01-04,20:40,37.8462327
2019-01-04,20:50,38.066308
2019-01-04,21:00,38.35362622
2019-01-04,21:10,38.70188201
2019-01-04,21:20,38.96558798
2019-01-04,21:30,39.3139819
2019-01-04,21:40,39.7537927
2019-01-04,21:50,40.18372855
2019-01-04,22:00,40.71250866
2019-01-04,22:10,41.17921572
2019-01-04,22:20,41.47104341
2019-01-04,22:30,41.96134751
2019-01-04,22:40,42.59120086
2019-01-04,22:50,43.15501961
2019-01-04,23:00,43.68113316
2019-01-04,23:10,44.15546883
2019-01-04,23:20,44.78091438
2019-01-04,23:30,45.24159527
2019-01-04,23:40,45.50320268
2019-01-04,23:50,45.75441303
2019-01-05,0:00,46.06178797
2019-01-05,0:10,46.26252318
2019-01-05,0:20,46.40903397
2019-01-05,0:30,46.64116035
2019-01-05,0:40,46.87863311
2019-01-05,0:50,47.13808475
2019-01-05,1:00,47.4152366
2019-01-05,1:10,47.63942691
2019-01-05,1:20,47.91946202
2019-01-05,1:30,48.14885748
2019-01-05,1:40,48.32486924
2019-01-05,1:50,48.53599417
2019-01-05,2:00,48.70877175
2019-01-05,2:10,48.89338127
2019-01-05,2:20,49.12399907
2019-01-05,2:30,49.32809597
2019-01-05,2:40,49.48586467
2019-01-05,2:50,49.59278022
2019-01-05,3:00,49.72554456
2019-01-05,3:10,49.90628028
2019-01-05,3:20,50.15184376
2019-01-05,3:30,50.35543575
2019-01-05,3:40,50.56777587
2019-01-05,3:50,50.76258373
2019-01-05,4:00,51.00818641
2019-01-05,4:10,51.19130607
2019-01-05,4:20,51.41616655
2019-01-05,4:30,51.53286627
2019-01-05,4:40,51.57352322
2019-01-05,4:50,51.65833508
2019-01-05,5:00,51.7475462
2019-01-05,5:10,51.61426171
2019-01-05,5:20,51.58490013
2019-01-05,5:30,51.5621414
2019-01-05,5:40,51.48861421
2019-01-05,5:50,51.49396671
2019-01-05,6:00,51.41765921
2019-01-05,6:10,51.22024508
2019-01-05,6:20,50.94756331
2019-01-05,6:30,50.51608572
2019-01-05,6:40,49.89917595
2019-01-05,6:50,49.11212477
2019-01-05,7:00,48.2452231
2019-01-05,7:10,46.95635524
2019-01-05,7:20,45.18603556
2019-01-05,7:30,43.38696866
2019-01-05,7:40,41.30869993
2019-01-05,7:50,39.25255872
2019-01-05,8:00,37.5428592
2019-01-05,8:10,36.16596288
2019-01-05,8:20,34.96654096
2019-01-05,8:30,34.27855432
2019-01-05,8:40,33.99671902
2019-01-05,8:50,33.92375033
2019-01-05,9:00,34.27417432
2019-01-05,9:10,34.94908
2019-01-05,9:20,35.2842903
2019-01-05,9:30,35.36984632
2019-01-05,9:40,35.36695872
2019-01-05,9:50,35.28815392
2019-01-05,10:00,35.19525754
2019-01-05,10:10,35.14152697
2019-01-05,10:20,35.16457361
2019-01-05,10:30,35.21269205
2019-01-05,10:40,35.4018293
2019-01-05,10:50,35.5781029
2019-01-05,11:00,35.83806503
2019-01-05,11:10,36.18893641
2019-01-05,11:20,36.53433595
2019-01-05,11:30,36.92000535
2019-01-05,11:40,37.33233037
2019-01-05,11:50,37.78685392
2019-01-05,12:00,38.32937256
2019-01-05,12:10,38.92364911
2019-01-05,12:20,39.46243627
2019-01-05,12:30,40.1149177
2019-01-05,12:40,40.59767537
2019-01-05,12:50,40.90011093
2019-01-05,13:00,40.97029627
2019-01-05,13:10,40.83133819
2019-01-05,13:20,40.44066376
2019-01-05,13:30,39.90637476
2019-01-05,13:40,39.29675083
2019-01-05,13:50,38.60008969
2019-01-05,14:00,37.98134584
2019-01-05,14:10,37.61054172
2019-01-05,14:20,37.27000066
2019-01-05,14:30,37.0205975
2019-01-05,14:40,36.8552269
2019-01-05,14:50,36.74169418
2019-01-05,15:00,36.76370918
2019-01-05,15:10,36.83205024
2019-01-05,15:20,36.83982256
2019-01-05,15:30,36.78948081
2019-01-05,15:40,36.8219941
2019-01-05,15:50,36.79240819
2019-01-05,16:00,36.82611851
2019-01-05,16:10,36.83915009
